City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
178,Los Llanos De Aridane,ES,2021-09-28 23:55:55,28.6585,-17.9182,69.55,78,40,18.41
179,San Felipe,VE,2021-09-28 23:55:55,10.3399,-68.7425,76.03,83,99,2.95
180,Yellowknife,CA,2021-09-28 23:55:56,62.456,-114.3525,49.41,100,75,4.0
181,Chokurdakh,RU,2021-09-28 23:55:56,70.6333,147.9167,25.48,94,96,7.99
182,Talnakh,RU,2021-09-28 23:55:56,69.4865,88.3972,31.15,77,99,2.57
183,Mullovka,RU,2021-09-28 23:55:56,54.2,49.4,42.62,74,92,7.63
184,Cherskiy,RU,2021-09-28 23:55:57,68.75,161.3,23.85,91,69,7.81
185,Puerto Varas,CL,2021-09-28 23:55:57,-41.3195,-72.9854,50.22,76,0,5.75
186,Beringovskiy,RU,2021-09-28 23:55:58,63.05,179.3167,29.53,81,83,5.86
187,Samarai,PG,2021-09-28 23:55:58,-10.6167,150.6667,79.21,87,100,17.22
188,Ovalle,CL,2021-09-28 23:55:58,-30.5983,-71.2003,70.5,32,60,3.06
189,Praia Da Vitoria,PT,2021-09-28 23:55:58,38.7333,-27.0667,71.76,100,75,11.61
190,Tucuman,AR,2021-09-28 23:55:59,-26.8241,-65.2226,73.4,49,29,12.66
191,Homer,US,2021-09-28 23:51:04,59.6425,-151.5483,49.77,50,1,8.05
192,Thiers,FR,2021-09-28 23:55:59,45.8333,3.5,59.32,68,51,3.69
193,Honiara,SB,2021-09-28 23:55:59,-9.4333,159.95,85.26,73,100,8.84
194,Begowal,IN,2021-09-28 23:56:00,31.6167,75.5167,78.78,73,3,4.85
195,Fortuna,US,2021-09-28 23:55:20,40.5982,-124.1573,66.42,64,20,5.99
196,Luwuk,ID,2021-09-28 23:56:00,-0.9516,122.7875,82.63,74,75,5.7
197,Bethel,US,2021-09-28 23:56:00,41.3712,-73.414,67.73,91,97,6.67
198,Fort Frances,CA,2021-09-28 23:51:02,48.5999,-93.4003,80.82,44,1,4.61
199,Port Elizabeth,ZA,2021-09-28 23:56:01,-33.918,25.5701,57.49,77,0,10.36
200,Petrozavodsk,RU,2021-09-28 23:56:01,61.7849,34.3469,33.26,100,38,4.47
201,Bengkulu,ID,2021-09-28 23:56:01,-3.8004,102.2655,75.65,90,83,3.22
202,Ciudad Bolivar,VE,2021-09-28 23:56:02,8.1222,-63.5497,81.1,71,58,7.9
203,Westport,US,2021-09-28 23:56:02,41.1415,-73.3579,70.99,89,100,3.0
204,Aykhal,RU,2021-09-28 23:56:02,66.0,111.5,25.43,82,100,6.31
205,Ambon,ID,2021-09-28 23:56:03,-3.6954,128.1814,80.74,94,40,2.3
206,Atuona,PF,2021-09-28 23:56:03,-9.8,-139.0333,78.06,72,10,19.77
207,Omsukchan,RU,2021-09-28 23:56:03,62.5333,155.8,23.09,57,48,7.7
208,Kemi,FI,2021-09-28 23:56:04,65.8596,24.8228,44.37,100,90,2.3
209,Skelleftea,SE,2021-09-28 23:56:04,64.7507,20.9528,48.56,70,90,3.44
210,San Carlos De Bariloche,AR,2021-09-28 23:56:04,-41.1456,-71.3082,49.75,29,0,4.61
211,Ostrovnoy,RU,2021-09-28 23:56:05,68.0531,39.5131,49.35,78,99,9.62
212,Victoria,HK,2021-09-28 23:55:20,22.2855,114.1577,85.24,83,8,1.01
213,Butaritari,KI,2021-09-28 23:55:25,3.0707,172.7902,83.28,74,32,21.43
214,Tiznit,MA,2021-09-28 23:56:05,29.5833,-9.5,71.42,41,3,0.94
215,Sorland,NO,2021-09-28 23:56:05,67.667,12.6934,52.93,80,100,11.83
216,Clyde River,CA,2021-09-28 23:56:06,70.4692,-68.5914,30.43,93,90,0.0
217,Yeppoon,AU,2021-09-28 23:56:06,-23.1333,150.7333,74.98,66,99,13.35
218,Nichinan,JP,2021-09-28 23:56:06,31.6,131.3667,79.75,74,34,11.9
219,Kamphaeng Phet,TH,2021-09-28 23:56:07,16.25,99.5,75.97,91,57,2.24
220,Vesyegonsk,RU,2021-09-28 23:56:07,58.664,37.2604,38.97,91,100,3.38
221,Aksarka,RU,2021-09-28 23:56:07,66.5606,67.7975,36.1,96,99,3.76
222,Svetlogorsk,BY,2021-09-28 23:56:07,52.6333,29.7333,42.15,96,13,6.15
223,Pacific Grove,US,2021-09-28 23:56:08,36.6177,-121.9166,78.62,70,0,10.0
224,Chuy,UY,2021-09-28 23:56:08,-33.6971,-53.4616,56.93,92,64,11.16
225,Tangzhai,CN,2021-09-28 23:56:08,34.4328,116.5911,65.39,87,53,4.27
226,Vila Velha,BR,2021-09-28 23:54:56,-20.3297,-40.2925,75.15,78,75,10.36
227,Luan,CH,2021-09-28 23:56:09,46.3592,6.9759,56.64,93,99,3.33
228,Katsuura,JP,2021-09-28 23:56:09,35.1333,140.3,76.19,77,26,9.44
229,Port Hedland,AU,2021-09-28 23:56:09,-20.3167,118.5667,73.45,43,2,5.75
230,Takayama,JP,2021-09-28 23:56:09,36.1333,137.25,69.3,86,57,3.22
231,Puerto Cabezas,NI,2021-09-28 23:56:10,14.0351,-83.3888,84.16,89,75,4.61
232,Villavieja,ES,2021-09-28 23:56:10,39.85,-0.1833,70.79,81,30,4.14
233,South Valley,US,2021-09-28 23:56:10,35.0101,-106.6781,72.5,65,75,4.61
234,Magole,TZ,2021-09-28 23:56:11,-6.3667,37.3667,69.33,87,84,2.68
235,Lompoc,US,2021-09-28 23:56:11,34.6391,-120.4579,80.1,62,20,13.0
236,Ponta Delgada,PT,2021-09-28 23:56:11,37.7333,-25.6667,75.51,88,40,6.91
237,Marsaxlokk,MT,2021-09-28 23:56:11,35.8419,14.5431,78.08,88,20,3.44
238,Harwich,GB,2021-09-28 23:56:12,51.9419,1.2844,55.56,93,100,3.0
239,Nayagarh,IN,2021-09-28 23:56:12,20.1333,85.1,73.81,95,96,1.66
240,Motril,ES,2021-09-28 23:56:12,36.7507,-3.5179,70.47,61,16,3.06
241,Harper,LR,2021-09-28 23:56:12,4.375,-7.7169,77.32,85,100,5.75
242,Mezhdurechensk,RU,2021-09-28 23:56:13,53.6942,88.0603,28.87,78,46,3.85
243,Portree,GB,2021-09-28 23:56:13,57.4129,-6.1942,47.86,90,53,4.54
244,Birjand,IR,2021-09-28 23:56:13,32.8663,59.2211,59.47,15,0,6.91
245,Te Kauwhata,NZ,2021-09-28 23:56:14,-37.4,175.15,61.88,56,46,10.11
246,Cehegin,ES,2021-09-28 23:56:14,38.0924,-1.7985,65.43,59,1,1.9
247,Tarakan,ID,2021-09-28 23:55:06,3.3,117.6333,80.1,94,40,0.0
248,Alekseyevsk,RU,2021-09-28 23:56:14,57.8406,108.3492,34.52,98,100,4.09
249,Severo-Kurilsk,RU,2021-09-28 23:56:14,50.6789,156.125,55.13,67,98,9.84
250,Edea,CM,2021-09-28 23:56:15,3.8,10.1333,76.78,99,69,1.57
251,Olga,RU,2021-09-28 23:56:15,43.7444,135.2892,63.81,92,100,3.6
252,Dingle,PH,2021-09-28 23:55:28,10.9995,122.6711,81.01,83,94,3.24
253,Magadan,RU,2021-09-28 23:56:15,59.5667,150.8,34.75,63,99,11.5
254,Santa Maria,BR,2021-09-28 23:56:15,-29.6842,-53.8069,60.1,100,90,5.75
255,Taltal,CL,2021-09-28 23:56:16,-25.4,-70.4833,62.49,70,30,6.17
256,Inhambane,MZ,2021-09-28 23:56:16,-23.865,35.3833,71.71,91,0,6.58
257,Santa Vitoria Do Palmar,BR,2021-09-28 23:55:47,-33.5189,-53.3681,57.09,93,80,10.54
258,Saint-Augustin,CA,2021-09-28 23:56:16,51.226,-58.6502,49.73,81,18,9.73
259,Dwarka,IN,2021-09-28 23:56:17,22.2394,68.9678,81.64,81,100,11.05
260,Tautira,PF,2021-09-28 23:56:17,-17.7333,-149.15,84.22,76,76,14.18
261,Tucumcari,US,2021-09-28 23:56:17,35.1717,-103.725,77.94,32,54,16.91
262,Nijar,ES,2021-09-28 23:56:17,36.9665,-2.206,67.66,83,0,4.61
263,Hofn,IS,2021-09-28 23:56:18,64.2539,-15.2082,38.08,62,100,13.78
264,Camana,PE,2021-09-28 23:56:18,-16.6228,-72.7111,62.08,80,4,3.22
265,Marakkanam,IN,2021-09-28 23:56:19,12.2,79.95,80.1,60,99,7.09
266,Erzin,TR,2021-09-28 23:56:19,36.9559,36.2,73.0,90,41,2.53
267,Usinsk,RU,2021-09-28 23:56:19,65.9939,57.5281,38.14,85,100,6.76
268,Riberalta,BO,2021-09-28 23:56:19,-10.9833,-66.1,86.2,74,40,0.0
269,Port Arthur,CN,2021-09-28 23:56:20,38.8,121.2667,69.91,76,9,3.2
270,Puqi,CN,2021-09-28 23:56:20,29.7167,113.8833,69.76,95,100,4.07
271,Dickinson,US,2021-09-28 23:54:21,29.4608,-95.0513,77.13,93,80,14.61
272,Rovaniemi,FI,2021-09-28 23:56:20,66.5,25.7167,42.21,93,40,4.61
273,Torbay,CA,2021-09-28 23:56:21,47.6666,-52.7314,62.67,91,90,17.27
274,Kruisfontein,ZA,2021-09-28 23:56:21,-34.0033,24.7314,52.88,83,100,6.49
275,Progreso,MX,2021-09-28 23:56:21,21.2833,-89.6667,81.39,77,29,16.4
276,Andenes,NO,2021-09-28 23:56:21,69.3143,16.1194,48.47,87,90,4.61
277,Crib Point,AU,2021-09-28 23:56:22,-38.35,145.2,61.79,65,100,12.03
278,Carbonia,IT,2021-09-28 23:56:22,39.1672,8.5222,70.0,88,26,6.17
279,Chicama,PE,2021-09-28 23:56:22,-7.8447,-79.1469,61.34,78,12,6.44
280,Moose Factory,CA,2021-09-28 23:56:23,51.2585,-80.6094,46.4,100,90,4.61
281,Carballo,ES,2021-09-28 23:56:23,43.213,-8.691,61.86,88,56,4.52
282,Port Macquarie,AU,2021-09-28 23:56:23,-31.4333,152.9167,69.39,55,93,18.88
283,Udachnyy,RU,2021-09-28 23:56:23,66.4167,112.4,26.91,81,100,3.71
284,Kopavogur,IS,2021-09-28 23:56:24,64.1123,-21.913,39.31,81,75,32.21
