City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
270,Manadhoo,MV,80.8,overcast clouds,5.7667,73.3833,Vevu Guesthouse
271,Coquimbo,CL,64.13,clear sky,-29.9533,-71.3436,Punto de encuentro
272,Ukiah,US,82.02,clear sky,39.1502,-123.2078,Hampton Inn Ukiah
273,Abong Mbang,CM,67.37,overcast clouds,3.9833,13.1833,Auberge Angle Sur
275,Margate,GB,60.66,broken clouds,51.3813,1.3862,Premier Inn Margate hotel
276,Kibala,TD,82.35,thunderstorm,9.1104,18.3463,hotel safari
277,Lima,PE,63.14,overcast clouds,-12.0432,-77.0282,Gran Hotel Bolivar Lima
279,Palimbang,PH,78.73,overcast clouds,6.2106,124.1894,Felmar Beach resort
281,Tateyama,JP,64.42,scattered clouds,34.9833,139.8667,Tateyama Seaside Hotel
282,Aparecida Do Taboado,BR,92.46,scattered clouds,-20.0867,-51.0936,Aritana
286,Port Hedland,AU,73.45,clear sky,-20.3167,118.5667,The Esplanade Hotel
292,Uyuni,BO,64.81,scattered clouds,-20.4597,-66.825,Hostal La Magia de Uyuni
294,Guerrero Negro,MX,75.31,clear sky,27.9769,-114.0611,"Casa Laguna, Bed & Breakfast"
295,Maraba,BR,93.38,scattered clouds,-5.3686,-49.1178,Hotel Del Principe
297,Savalou,BJ,81.12,light rain,7.9281,1.9756,Hotel F&F
298,Mocuba,MZ,76.32,scattered clouds,-16.8392,36.9856,Phama Lodge
299,Tomatlan,MX,78.19,overcast clouds,19.9333,-105.25,El Salvial
300,Sur,OM,85.44,overcast clouds,22.5667,59.5289,Sur Plaza Hotel
301,Sibolga,ID,76.77,overcast clouds,1.7427,98.7792,Hotel Syariah CN Darussalam
303,Manta,EC,76.78,broken clouds,-0.95,-80.7333,Balandra Hotel
304,Adolfo Lopez Mateos,MX,63.93,clear sky,28.4667,-107.3,Hotel Victor Inn
307,Borger,NL,60.96,light rain,52.9233,6.7931,Roompot Bospark Lunsbergen
308,Pacific Grove,US,83.16,clear sky,36.6177,-121.9166,Lovers Point Inn
309,Upata,VE,88.97,scattered clouds,8.0086,-62.3989,Posada Villa Nela
311,Dhadar,IN,90.14,overcast clouds,28.3305,75.0632,ढाढर
313,Manavgat,TR,73.81,clear sky,36.7867,31.4431,River Boutique Hotel
314,Estelle,US,87.06,broken clouds,29.8458,-90.1067,Boomtown Casino & Hotel New Orleans
317,East Massapequa,US,69.33,broken clouds,40.6734,-73.4365,Days Inn by Wyndham Long Island/Copiague
318,Sao Felix Do Xingu,BR,93.49,broken clouds,-6.6447,-51.995,Rio Xingu Camping
320,Tual,ID,80.13,overcast clouds,-5.6667,132.75,Grand Vilia Hotel
322,Tura,IN,75.51,broken clouds,25.5198,90.2201,Hotel RIKMAN Continental
323,Wewak,PG,76.08,moderate rain,-3.5534,143.6268,In Wewak Boutique Hotel
325,Los Andes,CL,74.01,clear sky,-32.8337,-70.5983,Hotel Los Andes
329,Coruripe,BR,82.26,few clouds,-10.1256,-36.1756,Pousada e Hotel Litoral Sul
333,Meulaboh,ID,76.06,overcast clouds,4.1363,96.1285,Kost Pria
334,Buraydah,SA,88.25,clear sky,26.326,43.975,فندق راحة السلام
335,Lata,PT,71.04,overcast clouds,40.1629,-8.3327,Casa Maquia
336,Along,IN,73.6,scattered clouds,28.1667,94.7667,Hotel West
337,Marsa Matruh,EG,73.94,few clouds,31.3525,27.2453,Beau Site
341,Labuhan,ID,78.53,overcast clouds,-6.8844,112.2051,PT PPI Lamongan Tambak C
343,Cabo San Lucas,MX,89.62,clear sky,22.8909,-109.9124,Hotel Tesoro Los Cabos
345,Rurrenabaque,BO,98.49,scattered clouds,-14.4413,-67.5278,Casa de Campo
346,Kawalu,ID,70.05,overcast clouds,-7.3817,108.2082,KOSAN UNGU UNSIK
347,Toyooka,JP,65.1,scattered clouds,35.5333,134.8333,O Hotel Toyooka
350,Itupiranga,BR,93.52,broken clouds,-5.1347,-49.3267,Hotel Panorama
351,Lastoursville,GA,74.26,moderate rain,-0.8143,12.7287,Auberge Bon Coin 02
352,Komsomolskiy,UZ,63.32,overcast clouds,40.4272,71.7189,Ikathouse
353,La Ronge,CA,62.85,few clouds,55.1001,-105.2842,Northland Motor Hotel
354,Robertsport,LR,81.73,broken clouds,6.7533,-11.3686,Kwepunha Retreat
355,Sao Joao Da Barra,BR,80.69,broken clouds,-21.6403,-41.0511,Pousada Porto De Canoas
356,Kutum,SD,85.62,clear sky,14.2,24.6667,Dibbo areaمنطقة دبو
357,Soe,ID,65.77,scattered clouds,-9.8607,124.284,Dena Hotel
358,Teknaf,BD,80.37,few clouds,20.8624,92.3058,Forestry Guesthouse
359,Tocopilla,CL,67.55,few clouds,-22.092,-70.1979,Hotel Galvarino
363,Pirenopolis,BR,91.89,broken clouds,-15.8525,-48.9592,Hotel Pousada Mandala
365,Angoche,MZ,76.84,clear sky,-16.2325,39.9086,Guest House HESADA
366,Yabassi,CM,74.12,overcast clouds,4.457,9.9682,MOTEL FOMI
367,North Platte,US,66.99,overcast clouds,41.1239,-100.7654,"Holiday Inn Express & Suites North Platte, an IHG Hotel"
368,Coro,VE,88.3,overcast clouds,11.4045,-69.6734,Federal
370,Stabat,ID,77.2,overcast clouds,3.761,98.4513,Link VII damai
371,Conceicao Da Barra,BR,83.25,clear sky,-18.5933,-39.7322,Cricaré Praia Hotel
372,Punta Alta,AR,64.29,few clouds,-38.8759,-62.0736,Center Hotel Punta Alta
373,Gushikawa,JP,80.6,clear sky,26.3544,127.8686,Kirari Guest House
374,Mukerian,IN,80.89,broken clouds,31.9506,75.6158,Dolphin Hotel
375,Niltepec,MX,88.56,overcast clouds,16.5667,-94.6167,Hotel Palma Real
376,Kununurra,AU,73.38,clear sky,-15.7667,128.7333,Hotel Kununurra
377,Muli,MV,83.05,overcast clouds,2.9167,73.5667,Medhufushi Island Resort
378,Erattupetta,IN,78.1,overcast clouds,9.7,76.7833,White Castle Residency
379,Soria,ES,66.0,scattered clouds,41.6667,-2.6667,Casa Rural Sierra de Inodejo
380,Boone,US,74.86,overcast clouds,39.0334,-92.3335,Cottonwoods RV Park
383,San Vicente,AR,63.86,light rain,-26.6167,-54.1333,Complejo Turístico Farelluk
384,Boa Vista,BR,93.18,broken clouds,2.8197,-60.6733,Aipana Plaza Hotel
385,Hamilton,US,77.76,clear sky,39.1834,-84.5333,Six Acres Bed & Breakfast
386,Neyyattinkara,IN,80.46,overcast clouds,8.4,77.0833,P.W.D. Rest House
387,Houma,US,84.99,overcast clouds,29.5958,-90.7195,Courtyard by Marriott Houma
390,Manitouwadge,CA,64.18,overcast clouds,49.1215,-85.8403,Select Inn
392,Sakakah,SA,94.57,clear sky,29.9697,40.2064,Fakhamat Al Orjoana Apartment
394,Cap Malheureux,MU,73.47,overcast clouds,-19.9842,57.6142,Pereybere Hotel & Spa
395,Ruteng,ID,62.44,overcast clouds,-8.6136,120.4721,Chacha Dormitory
397,Pijijiapan,MX,86.81,clear sky,15.7011,-93.23,Hotel Rosita
398,Manono,CD,79.75,overcast clouds,-7.3,27.4167,Hotel hewa bora
399,Candolim,IN,80.02,few clouds,15.5181,73.7626,Resort Terra Paraiso
400,Erzin,TR,77.52,clear sky,36.9559,36.2,Artemis Otel
401,Antsohihy,MG,77.54,scattered clouds,-14.8796,47.9875,Hotel de Ville
402,Hambantota,LK,77.27,overcast clouds,6.1241,81.1185,Bungalow 63
403,Sarh,TD,82.31,thunderstorm,9.1429,18.3923,Domicile 1sur le goudron
405,Namatanai,PG,80.28,overcast clouds,-3.6667,152.4333,Seagulls Inn Namatani
408,Pedasi,PA,79.07,broken clouds,7.5333,-80.0333,Selina Pedasi
