City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
145,Linxia,CN,35.6003,103.2064,59.63,58,20,3.96,few clouds
146,Aksarka,RU,66.5606,67.7975,33.15,86,96,12.91,overcast clouds
147,Te Anau,NZ,-45.4167,167.7167,42.46,89,100,1.3,overcast clouds
148,Paita,PE,-5.0892,-81.1144,81.16,64,1,13.42,clear sky
149,Clyde River,CA,70.4692,-68.5914,39.43,81,75,5.75,broken clouds
150,Tamandare,BR,-8.7597,-35.1047,81.54,70,36,10.65,scattered clouds
151,Mitu,CO,1.1983,-70.1733,87.06,59,97,2.13,overcast clouds
152,Safranbolu,TR,41.2508,32.6942,50.25,84,67,3.2,broken clouds
153,Eyl,SO,7.9803,49.8164,79.63,77,56,20.92,broken clouds
154,Fuglebjerg,DK,55.306,11.5477,58.51,63,100,17.05,overcast clouds
155,Vestmannaeyjar,IS,63.4427,-20.2734,50.99,71,0,8.05,clear sky
156,Sayyan,YE,15.1718,44.3244,69.76,27,99,9.84,overcast clouds
157,Rio Negrinho,BR,-26.2544,-49.5183,63.95,99,100,4.23,overcast clouds
158,Tefe,BR,-3.3542,-64.7114,89.71,66,20,0.4,few clouds
159,Port Macquarie,AU,-31.4333,152.9167,55.89,88,92,4.45,overcast clouds
160,Wilmington,US,34.2257,-77.9447,84.92,49,1,9.22,clear sky
161,Saldanha,ZA,-33.0117,17.9442,58.05,81,1,25.77,clear sky
162,Arraial Do Cabo,BR,-22.9661,-42.0278,75.06,73,75,23.02,broken clouds
163,Airai,TL,-8.9266,125.4092,60.53,76,90,0.78,overcast clouds
164,Port Elizabeth,ZA,-33.918,25.5701,61.11,100,75,12.66,light rain
165,Flin Flon,CA,54.7682,-101.865,62.44,48,40,8.05,scattered clouds
166,Lakhimpur,IN,27.95,80.7667,78.75,86,85,4.85,overcast clouds
167,Asau,RO,46.4333,26.4,50.76,53,49,0.43,scattered clouds
168,Hameenlinna,FI,60.996,24.4643,50.34,93,88,7.38,overcast clouds
169,Noumea,NC,-22.2763,166.4572,77.0,99,98,9.19,moderate rain
170,Broome,US,42.2506,-75.833,62.02,64,90,3.0,overcast clouds
171,Havelock,US,34.8791,-76.9013,80.98,62,75,1.99,broken clouds
172,Gizo,SB,-8.103,156.8419,81.57,77,100,1.81,overcast clouds
173,Nanortalik,GL,60.1432,-45.2371,42.26,48,0,5.55,clear sky
174,Itarema,BR,-2.9248,-39.9167,86.7,57,32,19.89,scattered clouds
175,Ponta Do Sol,PT,32.6667,-17.1,77.13,66,4,4.94,clear sky
176,Souillac,MU,-20.5167,57.5167,73.36,78,75,12.66,broken clouds
177,Ust-Maya,RU,60.4167,134.5333,34.66,99,100,1.79,light rain
178,Manggar,ID,-2.8833,108.2667,76.91,81,100,1.86,overcast clouds
179,Pangoa,PE,-12.1167,-73.0,92.32,35,10,5.93,clear sky
180,Wagar,SD,16.1525,36.2032,99.48,19,68,1.63,broken clouds
181,Viedma,AR,-40.8135,-62.9967,67.08,17,5,11.88,clear sky
182,Sembakung,ID,3.8167,117.25,73.58,96,99,1.3,overcast clouds
183,Iqaluit,CA,63.7506,-68.5145,33.53,80,40,3.44,scattered clouds
184,Jamestown,US,42.097,-79.2353,65.17,60,5,4.18,clear sky
